study	DOI	QTL.type	cell_type_name	cell_state	study_abbr
Natri2023biorxiv	10.1101/2023.03.17.533161	Cell-type-specific eQTL	Conventional Dendritic Cell	CDC1	Natri-2023-bioRxiv
Natri2023biorxiv	10.1101/2023.03.17.533161	Cell-type-specific eQTL	Conventional Dendritic Cell	CDC2	Natri-2023-bioRxiv
Natri2023biorxiv	10.1101/2023.03.17.533161	Cell-type-specific eQTL	Monocyte (Mono)	Inflammatory	Natri-2023-bioRxiv
Natri2023biorxiv	10.1101/2023.03.17.533161	Cell-type-specific eQTL	Interstitial Macrophages	-	Natri-2023-bioRxiv
Natri2023biorxiv	10.1101/2023.03.17.533161	Cell-type-specific eQTL	Mast	-	Natri-2023-bioRxiv
Natri2023biorxiv	10.1101/2023.03.17.533161	Cell-type-specific eQTL	Dendritic Cell (DC)	-	Natri-2023-bioRxiv
Natri2023biorxiv	10.1101/2023.03.17.533161	Cell-type-specific eQTL	Monocyte (Mono)	-	Natri-2023-bioRxiv
Natri2023biorxiv	10.1101/2023.03.17.533161	Cell-type-specific eQTL	Macrophages	-	Natri-2023-bioRxiv
Natri2023biorxiv	10.1101/2023.03.17.533161	Cell-type-specific eQTL	Natural Killer Cell (NK)	-	Natri-2023-bioRxiv
Natri2023biorxiv	10.1101/2023.03.17.533161	Cell-type-specific eQTL	Plasmacytoid Dendritic Cell (pDC)	-	Natri-2023-bioRxiv
Natri2023biorxiv	10.1101/2023.03.17.533161	Cell-type-specific eQTL	Plasma	-	Natri-2023-bioRxiv
Natri2023biorxiv	10.1101/2023.03.17.533161	Cell-type-specific eQTL	T Proliferating	-	Natri-2023-bioRxiv
Natri2023biorxiv	10.1101/2023.03.17.533161	Cell-type-specific eQTL	Adventitial Fibroblast	-	Natri-2023-bioRxiv
Natri2023biorxiv	10.1101/2023.03.17.533161	Cell-type-specific eQTL	Alveolar Fibroblast	-	Natri-2023-bioRxiv
Natri2023biorxiv	10.1101/2023.03.17.533161	Cell-type-specific eQTL	Mesothelial	-	Natri-2023-bioRxiv
Natri2023biorxiv	10.1101/2023.03.17.533161	Cell-type-specific eQTL	Pericyte	-	Natri-2023-bioRxiv
Natri2023biorxiv	10.1101/2023.03.17.533161	Cell-type-specific eQTL	Smooth Muscle Cell (SMC)	-	Natri-2023-bioRxiv
Neavin2021GB	10.1186/s13059-021-02293-3	Cell-type-specific eQTL	Fibroblast	SIX5+	Neavin-2021-Genome Biol
Neavin2021GB	10.1186/s13059-021-02293-3	Cell-type-specific eQTL	Fibroblast	HOXC6+	Neavin-2021-Genome Biol
Neavin2021GB	10.1186/s13059-021-02293-3	Cell-type-specific eQTL	Fibroblast	ATF1+	Neavin-2021-Genome Biol
Neavin2021GB	10.1186/s13059-021-02293-3	Cell-type-specific eQTL	Fibroblast	TEAD2+	Neavin-2021-Genome Biol
Neavin2021GB	10.1186/s13059-021-02293-3	Cell-type-specific eQTL	Fibroblast	KLF10+	Neavin-2021-Genome Biol
Neavin2021GB	10.1186/s13059-021-02293-3	Cell-type-specific eQTL	Fibroblast	RXRB+	Neavin-2021-Genome Biol
Neavin2021GB	10.1186/s13059-021-02293-3	Cell-type-specific eQTL	Induced Pluripotent Stem Cells (iPSC)	BRF2+	Neavin-2021-Genome Biol
Neavin2021GB	10.1186/s13059-021-02293-3	Cell-type-specific eQTL	Induced Pluripotent Stem Cells (iPSC)	ATF2+	Neavin-2021-Genome Biol
Neavin2021GB	10.1186/s13059-021-02293-3	Cell-type-specific eQTL	Induced Pluripotent Stem Cells (iPSC)	HIC2+	Neavin-2021-Genome Biol
Neavin2021GB	10.1186/s13059-021-02293-3	Cell-type-specific eQTL	Induced Pluripotent Stem Cells (iPSC)	CEBPG+	Neavin-2021-Genome Biol
Oelen2022NC	10.1038/s41467-022-30893-5	Response eQTL	B Cell	24 H C. Albicans (CA)-stimulated	Oelen-2022-Nat. Commun
Oelen2022NC	10.1038/s41467-022-30893-5	Response eQTL	CD4+ T Cell	24 H C. Albicans (CA)-stimulated	Oelen-2022-Nat. Commun
Oelen2022NC	10.1038/s41467-022-30893-5	Response eQTL	CD8+ T Cell	24 H C. Albicans (CA)-stimulated	Oelen-2022-Nat. Commun
Oelen2022NC	10.1038/s41467-022-30893-5	Response eQTL	Dendritic Cell (DC)	24 H C. Albicans (CA)-stimulated	Oelen-2022-Nat. Commun
Oelen2022NC	10.1038/s41467-022-30893-5	Response eQTL	Megakaryocytes	24 H C. Albicans (CA)-stimulated	Oelen-2022-Nat. Commun
Oelen2022NC	10.1038/s41467-022-30893-5	Response eQTL	Monocyte (Mono)	24 H C. Albicans (CA)-stimulated	Oelen-2022-Nat. Commun
Oelen2022NC	10.1038/s41467-022-30893-5	Response eQTL	Natural Killer Cell (NK)	24 H C. Albicans (CA)-stimulated	Oelen-2022-Nat. Commun
Oelen2022NC	10.1038/s41467-022-30893-5	Response eQTL	B Cell	24 H M. Tuberculosis-stimulated	Oelen-2022-Nat. Commun
Oelen2022NC	10.1038/s41467-022-30893-5	Response eQTL	CD4+ T Cell	24 H M. Tuberculosis-stimulated	Oelen-2022-Nat. Commun
Oelen2022NC	10.1038/s41467-022-30893-5	Response eQTL	CD8+ T Cell	24 H M. Tuberculosis-stimulated	Oelen-2022-Nat. Commun
Oelen2022NC	10.1038/s41467-022-30893-5	Response eQTL	Dendritic Cell (DC)	24 H M. Tuberculosis-stimulated	Oelen-2022-Nat. Commun
Oelen2022NC	10.1038/s41467-022-30893-5	Response eQTL	Megakaryocytes	24 H M. Tuberculosis-stimulated	Oelen-2022-Nat. Commun
Oelen2022NC	10.1038/s41467-022-30893-5	Response eQTL	Monocyte (Mono)	24 H M. Tuberculosis-stimulated	Oelen-2022-Nat. Commun
Oelen2022NC	10.1038/s41467-022-30893-5	Response eQTL	Natural Killer Cell (NK)	24 H M. Tuberculosis-stimulated	Oelen-2022-Nat. Commun
Oelen2022NC	10.1038/s41467-022-30893-5	Response eQTL	B Cell	24 H P. Aeruginosa-stimulated	Oelen-2022-Nat. Commun
Oelen2022NC	10.1038/s41467-022-30893-5	Response eQTL	CD4+ T Cell	24 H P. Aeruginosa-stimulated	Oelen-2022-Nat. Commun
Oelen2022NC	10.1038/s41467-022-30893-5	Response eQTL	CD8+ T Cell	24 H P. Aeruginosa-stimulated	Oelen-2022-Nat. Commun
Oelen2022NC	10.1038/s41467-022-30893-5	Response eQTL	Dendritic Cell (DC)	24 H P. Aeruginosa-stimulated	Oelen-2022-Nat. Commun
Oelen2022NC	10.1038/s41467-022-30893-5	Response eQTL	Megakaryocytes	24 H P. Aeruginosa-stimulated	Oelen-2022-Nat. Commun
Oelen2022NC	10.1038/s41467-022-30893-5	Response eQTL	Monocyte (Mono)	24 H P. Aeruginosa-stimulated	Oelen-2022-Nat. Commun
Oelen2022NC	10.1038/s41467-022-30893-5	Response eQTL	Natural Killer Cell (NK)	24 H P. Aeruginosa-stimulated	Oelen-2022-Nat. Commun
Oelen2022NC	10.1038/s41467-022-30893-5	Response eQTL	B Cell	3 H C. Albicans (CA)-stimulated	Oelen-2022-Nat. Commun
Oelen2022NC	10.1038/s41467-022-30893-5	Response eQTL	CD4+ T Cell	3 H C. Albicans (CA)-stimulated	Oelen-2022-Nat. Commun
Oelen2022NC	10.1038/s41467-022-30893-5	Response eQTL	CD8+ T Cell	3 H C. Albicans (CA)-stimulated	Oelen-2022-Nat. Commun
Oelen2022NC	10.1038/s41467-022-30893-5	Response eQTL	Dendritic Cell (DC)	3 H C. Albicans (CA)-stimulated	Oelen-2022-Nat. Commun
Oelen2022NC	10.1038/s41467-022-30893-5	Response eQTL	Megakaryocytes	3 H C. Albicans (CA)-stimulated	Oelen-2022-Nat. Commun
Oelen2022NC	10.1038/s41467-022-30893-5	Response eQTL	Monocyte (Mono)	3 H C. Albicans (CA)-stimulated	Oelen-2022-Nat. Commun
Oelen2022NC	10.1038/s41467-022-30893-5	Response eQTL	Natural Killer Cell (NK)	3 H C. Albicans (CA)-stimulated	Oelen-2022-Nat. Commun
Oelen2022NC	10.1038/s41467-022-30893-5	Response eQTL	B Cell	3 H M. Tuberculosis-stimulated	Oelen-2022-Nat. Commun
Oelen2022NC	10.1038/s41467-022-30893-5	Response eQTL	CD4+ T Cell	3 H M. Tuberculosis-stimulated	Oelen-2022-Nat. Commun
Oelen2022NC	10.1038/s41467-022-30893-5	Response eQTL	CD8+ T Cell	3 H M. Tuberculosis-stimulated	Oelen-2022-Nat. Commun
Oelen2022NC	10.1038/s41467-022-30893-5	Response eQTL	Dendritic Cell (DC)	3 H M. Tuberculosis-stimulated	Oelen-2022-Nat. Commun
Oelen2022NC	10.1038/s41467-022-30893-5	Response eQTL	Megakaryocytes	3 H M. Tuberculosis-stimulated	Oelen-2022-Nat. Commun
Oelen2022NC	10.1038/s41467-022-30893-5	Response eQTL	Monocyte (Mono)	3 H M. Tuberculosis-stimulated	Oelen-2022-Nat. Commun
Oelen2022NC	10.1038/s41467-022-30893-5	Response eQTL	Natural Killer Cell (NK)	3 H M. Tuberculosis-stimulated	Oelen-2022-Nat. Commun
Oelen2022NC	10.1038/s41467-022-30893-5	Response eQTL	B Cell	3 H P. Aeruginosa-stimulated	Oelen-2022-Nat. Commun
Oelen2022NC	10.1038/s41467-022-30893-5	Response eQTL	CD4+ T Cell	3 H P. Aeruginosa-stimulated	Oelen-2022-Nat. Commun
Oelen2022NC	10.1038/s41467-022-30893-5	Response eQTL	CD8+ T Cell	3 H P. Aeruginosa-stimulated	Oelen-2022-Nat. Commun
Oelen2022NC	10.1038/s41467-022-30893-5	Response eQTL	Dendritic Cell (DC)	3 H P. Aeruginosa-stimulated	Oelen-2022-Nat. Commun
Oelen2022NC	10.1038/s41467-022-30893-5	Response eQTL	Megakaryocytes	3 H P. Aeruginosa-stimulated	Oelen-2022-Nat. Commun
Oelen2022NC	10.1038/s41467-022-30893-5	Response eQTL	Monocyte (Mono)	3 H P. Aeruginosa-stimulated	Oelen-2022-Nat. Commun
Oelen2022NC	10.1038/s41467-022-30893-5	Response eQTL	Natural Killer Cell (NK)	3 H P. Aeruginosa-stimulated	Oelen-2022-Nat. Commun
Oelen2022NC	10.1038/s41467-022-30893-5	Cell-type-specific eQTL	B Cell	-	Oelen-2022-Nat. Commun
Oelen2022NC	10.1038/s41467-022-30893-5	Cell-type-specific eQTL	CD4+ T Cell	-	Oelen-2022-Nat. Commun
Oelen2022NC	10.1038/s41467-022-30893-5	Cell-type-specific eQTL	CD8+ T Cell	-	Oelen-2022-Nat. Commun
Oelen2022NC	10.1038/s41467-022-30893-5	Cell-type-specific eQTL	Dendritic Cell (DC)	-	Oelen-2022-Nat. Commun
Oelen2022NC	10.1038/s41467-022-30893-5	Cell-type-specific eQTL	Megakaryocytes	-	Oelen-2022-Nat. Commun
Oelen2022NC	10.1038/s41467-022-30893-5	Cell-type-specific eQTL	Monocyte (Mono)	-	Oelen-2022-Nat. Commun
Oelen2022NC	10.1038/s41467-022-30893-5	Cell-type-specific eQTL	Natural Killer Cell (NK)	-	Oelen-2022-Nat. Commun
Perez2022Science	10.1126/science.abf1970	Cell-type-specific eQTL	Naive B Cell	-	Perez-2022-Science
Perez2022Science	10.1126/science.abf1970	Response eQTL	Naive B Cell	Type 1 Interferon Activation	Perez-2022-Science
Perez2022Science	10.1126/science.abf1970	Cell-type-specific eQTL	Conventional Dendritic Cell	CDC1 / CDC2	Perez-2022-Science
Perez2022Science	10.1126/science.abf1970	Response eQTL	Conventional Dendritic Cell	CDC1 / CDC2; Type 1 Interferon Activation	Perez-2022-Science
Perez2022Science	10.1126/science.abf1970	Response eQTL	CD14+ Monocyte (CD14 Mono)	Type 1 Interferon Activation	Perez-2022-Science
Perez2022Science	10.1126/science.abf1970	Response eQTL	CD16+ Monocyte (CD16 Mono)	Type 1 Interferon Activation	Perez-2022-Science
Perez2022Science	10.1126/science.abf1970	Cell-type-specific eQTL	CD14+ Monocyte (CD14 Mono)	-	Perez-2022-Science
Perez2022Science	10.1126/science.abf1970	Cell-type-specific eQTL	CD16+ Monocyte (CD16 Mono)	-	Perez-2022-Science
Perez2022Science	10.1126/science.abf1970	Cell-type-specific eQTL	Natural Killer Cell (NK)	-	Perez-2022-Science
Perez2022Science	10.1126/science.abf1970	Response eQTL	Natural Killer Cell (NK)	Type 1 Interferon Activation	Perez-2022-Science
Perez2022Science	10.1126/science.abf1970	Cell-type-specific eQTL	Plasmacytoid Dendritic Cell (pDC)	-	Perez-2022-Science
Perez2022Science	10.1126/science.abf1970	Response eQTL	Plasmacytoid Dendritic Cell (pDC)	Type 1 Interferon Activation	Perez-2022-Science
Perez2022Science	10.1126/science.abf1970	Cell-type-specific eQTL	CD4+ T Cell	-	Perez-2022-Science
Perez2022Science	10.1126/science.abf1970	Response eQTL	CD4+ T Cell	Type 1 Interferon Activation	Perez-2022-Science
Perez2022Science	10.1126/science.abf1970	Cell-type-specific eQTL	CD8+ T Cell	-	Perez-2022-Science
Perez2022Science	10.1126/science.abf1970	Response eQTL	CD8+ T Cell	Type 1 Interferon Activation	Perez-2022-Science
Soskic2022NG	10.1038/s41588-022-01066-3	Cell-type-specific eQTL	CD4 Memory	Before Dividing (16 h)	Soskic-2022-Nat. Genet
Soskic2022NG	10.1038/s41588-022-01066-3	Cell-type-specific eQTL	CD4 Memory	After The First Cell Division (40 h)	Soskic-2022-Nat. Genet
Soskic2022NG	10.1038/s41588-022-01066-3	Cell-type-specific eQTL	CD4 Memory	After Acquiring Effector Functions (5 D)	Soskic-2022-Nat. Genet
Soskic2022NG	10.1038/s41588-022-01066-3	Cell-type-specific eQTL	CD4 Memory	Resting State	Soskic-2022-Nat. Genet
Soskic2022NG	10.1038/s41588-022-01066-3	Cell-type-specific eQTL	CD4+ Naive T	Harvested After 16 H Stimulation	Soskic-2022-Nat. Genet
Soskic2022NG	10.1038/s41588-022-01066-3	Cell-type-specific eQTL	CD4+ Naive T	Harvested After 40 H Stimulation	Soskic-2022-Nat. Genet
Soskic2022NG	10.1038/s41588-022-01066-3	Cell-type-specific eQTL	CD4+ Naive T	Harvested After 5 D Stimulation	Soskic-2022-Nat. Genet
Soskic2022NG	10.1038/s41588-022-01066-3	Cell-type-specific eQTL	CD4+ Naive T	Harvested After 0 H Stimulation	Soskic-2022-Nat. Genet
Soskic2022NG	10.1038/s41588-022-01066-3	Cell-type-specific eQTL	CD4+ Naive T	HSP+; Before Dividing (16h)	Soskic-2022-Nat. Genet
Soskic2022NG	10.1038/s41588-022-01066-3	Cell-type-specific eQTL	Regulatory T (Treg)	Resting State	Soskic-2022-Nat. Genet
Soskic2022NG	10.1038/s41588-022-01066-3	Cell-type-specific eQTL	Regulatory T (Treg)	Before Dividing (16 h)	Soskic-2022-Nat. Genet
Soskic2022NG	10.1038/s41588-022-01066-3	Cell-type-specific eQTL	Regulatory T (Treg)	After The First Cell Division (40 h)	Soskic-2022-Nat. Genet
Soskic2022NG	10.1038/s41588-022-01066-3	Cell-type-specific eQTL	T Cell	Endoplasmic Reticulum (5 D)	Soskic-2022-Nat. Genet
Soskic2022NG	10.1038/s41588-022-01066-3	Cell-type-specific eQTL	CD4+ Central Memory T	Resting State	Soskic-2022-Nat. Genet
Soskic2022NG	10.1038/s41588-022-01066-3	Cell-type-specific eQTL	CD4+ Central Memory T	Before Dividing (16 h)	Soskic-2022-Nat. Genet
Soskic2022NG	10.1038/s41588-022-01066-3	Cell-type-specific eQTL	CD4+ Central Memory T	After The First Cell Division (40 h)	Soskic-2022-Nat. Genet
Soskic2022NG	10.1038/s41588-022-01066-3	Cell-type-specific eQTL	CD4+ Central Memory T	After Acquiring Effector Functions (5 D)	Soskic-2022-Nat. Genet
Soskic2022NG	10.1038/s41588-022-01066-3	Cell-type-specific eQTL	CD4+ Central Memory T	Lowly Active	Soskic-2022-Nat. Genet
Soskic2022NG	10.1038/s41588-022-01066-3	Cell-type-specific eQTL	CD4+ Effector Memory T	Resting State	Soskic-2022-Nat. Genet
Soskic2022NG	10.1038/s41588-022-01066-3	Cell-type-specific eQTL	CD4+ Effector Memory T	Before Dividing (16 h)	Soskic-2022-Nat. Genet
Soskic2022NG	10.1038/s41588-022-01066-3	Cell-type-specific eQTL	CD4+ Effector Memory T	After The First Cell Division (40 h)	Soskic-2022-Nat. Genet
Soskic2022NG	10.1038/s41588-022-01066-3	Cell-type-specific eQTL	CD4+ Effector Memory T	After Acquiring Effector Functions (5 D)	Soskic-2022-Nat. Genet
Soskic2022NG	10.1038/s41588-022-01066-3	Cell-type-specific eQTL	CD4+ Effector Memory T	HLA+; After The First Cell Division (40 h)	Soskic-2022-Nat. Genet
Soskic2022NG	10.1038/s41588-022-01066-3	Cell-type-specific eQTL	CD4+ Effector Memory T	HLA+; After Acquiring Effector Functions (5 D)	Soskic-2022-Nat. Genet
Soskic2022NG	10.1038/s41588-022-01066-3	Cell-type-specific eQTL	CD4+ Effector Memory T	Lowly Active	Soskic-2022-Nat. Genet
Soskic2022NG	10.1038/s41588-022-01066-3	Cell-type-specific eQTL	CD4+ Effector Memory T	CD45RA+; Resting State	Soskic-2022-Nat. Genet
Soskic2022NG	10.1038/s41588-022-01066-3	Cell-type-specific eQTL	CD4+ Effector Memory T	CD45RA+; Before Dividing (16 h)	Soskic-2022-Nat. Genet
Soskic2022NG	10.1038/s41588-022-01066-3	Cell-type-specific eQTL	CD4+ Effector Memory T	CD45RA+; After The First Cell Division (40 h)	Soskic-2022-Nat. Genet
Soskic2022NG	10.1038/s41588-022-01066-3	Cell-type-specific eQTL	CD4+ Effector Memory T	CD45RA+; After Acquiring Effector Functions (5 D)	Soskic-2022-Nat. Genet
Soskic2022NG	10.1038/s41588-022-01066-3	Cell-type-specific eQTL	CD4+ Effector Memory T	CD45RA+; Lowly Active	Soskic-2022-Nat. Genet
Soskic2022NG	10.1038/s41588-022-01066-3	Cell-type-specific eQTL	Memory T Cell	Cycling; After Acquiring Effector Functions (5 D)	Soskic-2022-Nat. Genet
Soskic2022NG	10.1038/s41588-022-01066-3	Cell-type-specific eQTL	Memory T Cell	Endoplasmic Reticulum (5 D)	Soskic-2022-Nat. Genet
Soskic2022NG	10.1038/s41588-022-01066-3	Cell-type-specific eQTL	CD4+ Naive T	Resting State	Soskic-2022-Nat. Genet
Soskic2022NG	10.1038/s41588-022-01066-3	Cell-type-specific eQTL	Naive T Cell	Before Dividing (16 h)	Soskic-2022-Nat. Genet
Soskic2022NG	10.1038/s41588-022-01066-3	Cell-type-specific eQTL	CD4+ Naive T	After The First Cell Division (40 h)	Soskic-2022-Nat. Genet
Soskic2022NG	10.1038/s41588-022-01066-3	Cell-type-specific eQTL	CD4+ Naive T	After Acquiring Effector Functions (5 D)	Soskic-2022-Nat. Genet
Soskic2022NG	10.1038/s41588-022-01066-3	Cell-type-specific eQTL	CD4+ Naive T	Cycling; After The First Cell Division (40 h)	Soskic-2022-Nat. Genet
Soskic2022NG	10.1038/s41588-022-01066-3	Cell-type-specific eQTL	CD4+ Naive T	Cycling; After Acquiring Effector Functions (5 D)	Soskic-2022-Nat. Genet
Soskic2022NG	10.1038/s41588-022-01066-3	Cell-type-specific eQTL	CD4+ Naive T	HSP+; After Acquiring Effector Functions (5 D)	Soskic-2022-Nat. Genet
Soskic2022NG	10.1038/s41588-022-01066-3	Cell-type-specific eQTL	CD4+ Naive T	IFN; Before Dividing (16 h)	Soskic-2022-Nat. Genet
Soskic2022NG	10.1038/s41588-022-01066-3	Cell-type-specific eQTL	CD4+ Naive T	IFN; After The First Cell Division (40 h)	Soskic-2022-Nat. Genet
Soskic2022NG	10.1038/s41588-022-01066-3	Cell-type-specific eQTL	CD4+ Naive T	IFN; After Acquiring Effector Functions (5 D)	Soskic-2022-Nat. Genet
Soskic2022NG	10.1038/s41588-022-01066-3	Cell-type-specific eQTL	CD4+ Naive T	IFN; Lowly Active	Soskic-2022-Nat. Genet
Soskic2022NG	10.1038/s41588-022-01066-3	Cell-type-specific eQTL	CD4+ Naive T	Lowly Active	Soskic-2022-Nat. Genet
Soskic2022NG	10.1038/s41588-022-01066-3	Cell-type-specific eQTL	CD4+ Naive T	NFKB+	Soskic-2022-Nat. Genet
YAZAR2022Sci	10.1126/science.abf3041	Cell-type-specific eQTL	CD4+ Effector Memory T	CD45RA+	YAZAR-2022-Science
YAZAR2022Sci	10.1126/science.abf3041	Cell-type-specific eQTL	CD4+ Effector Memory T	-	YAZAR-2022-Science
YAZAR2022Sci	10.1126/science.abf3041	Cell-type-specific eQTL	CD4+ T Cell	SOX4+	YAZAR-2022-Science
